Overconfidence Predictions for densenet on medical using deep_ensemble:

Sample     Pred       Confidence      Uncertainty    
==================================================
3          0          1.0000          7.2506         
4          0          1.0000          10.6594        
5          0          1.0000          7.3217         
7          0          1.0000          6.6871         
20         0          1.0000          13.8292        
36         0          1.0000          5.3816         
42         0          1.0000          8.0938         
53         0          1.0000          6.1000         
56         0          1.0000          7.8354         
62         0          1.0000          7.2304         
65         0          1.0000          8.9833         
72         0          1.0000          12.8042        
77         0          1.0000          7.7646         
85         0          1.0000          7.8619         
89         0          1.0000          12.3416        
97         0          1.0000          7.3376         
112        0          1.0000          13.0433        
114        0          1.0000          8.2535         
123        0          1.0000          7.0759         
127        0          1.0000          14.3403        
130        0          1.0000          6.4612         
133        0          1.0000          7.6107         
135        0          1.0000          7.4563         
150        0          1.0000          6.7818         
151        0          1.0000          7.6163         
155        0          1.0000          6.2807         
164        0          1.0000          6.3021         
166        0          1.0000          11.0145        
178        0          1.0000          8.2711         
179        0          1.0000          6.8944         
182        0          1.0000          9.8873         
199        0          1.0000          6.9398         
201        0          1.0000          10.9644        
204        0          1.0000          8.9520         
221        0          1.0000          7.6344         
223        0          1.0000          8.2658         
228        0          1.0000          9.2632         
238        0          1.0000          6.3705         
240        0          1.0000          6.0366         
243        0          1.0000          5.6431         
251        0          1.0000          7.2951         
259        0          1.0000          8.7283         
265        0          1.0000          7.1634         
271        0          1.0000          11.8508        
272        0          1.0000          7.9457         
279        0          1.0000          8.3934         
282        0          1.0000          6.7523         
292        0          1.0000          8.9909         
296        0          1.0000          13.9711        
298        0          1.0000          8.0383         
299        0          1.0000          9.4532         
316        0          1.0000          8.1122         
319        0          1.0000          8.4805         
327        0          1.0000          7.7037         
328        0          1.0000          10.1382        
336        0          1.0000          7.2003         
345        0          1.0000          10.3713        
347        0          1.0000          10.3262        
349        0          1.0000          11.5773        
350        0          1.0000          7.6948         
361        0          1.0000          8.3824         
367        0          1.0000          8.6357         
368        0          1.0000          9.3346         
374        0          1.0000          11.0052        
375        0          1.0000          7.8804         
377        0          1.0000          8.0718         
390        0          1.0000          12.1601        
395        0          1.0000          8.4558         
399        0          1.0000          12.2161        
413        0          1.0000          6.1324         
433        0          1.0000          12.0427        
434        0          1.0000          7.9580         
435        0          1.0000          8.2833         
445        0          1.0000          7.7715         
456        0          1.0000          7.7446         
460        0          1.0000          12.7190        
464        0          1.0000          7.1051         
465        0          1.0000          7.5088         
470        0          1.0000          9.4240         
475        0          1.0000          8.5747         
477        0          1.0000          7.8214         
481        0          1.0000          6.6249         
486        0          1.0000          7.5317         
487        0          1.0000          8.5002         
500        0          1.0000          12.1724        
501        0          1.0000          7.9109         
506        0          1.0000          9.4826         
511        0          1.0000          7.5516         
514        0          1.0000          9.1768         
518        0          1.0000          6.0285         
525        0          1.0000          6.9969         
536        0          1.0000          7.0478         
540        0          1.0000          7.8506         
541        0          1.0000          6.5298         
547        0          1.0000          14.2974        
566        0          1.0000          13.1334        
572        0          1.0000          10.8262        
583        0          1.0000          6.6117         
586        0          1.0000          9.6692         
589        0          1.0000          6.6551         
596        0          1.0000          8.5473         
598        0          1.0000          10.1010        
610        0          1.0000          5.2222         
611        0          1.0000          5.1905         
615        0          1.0000          5.7217         
627        0          1.0000          6.5637         
631        0          1.0000          9.8405         
638        0          1.0000          6.3411         
646        0          1.0000          13.6482        
656        0          1.0000          6.8306         
671        0          1.0000          6.0137         
685        0          1.0000          14.4682        
688        0          1.0000          8.2902         
700        0          1.0000          15.2975        
718        0          1.0000          6.8723         
728        0          1.0000          7.8541         
729        0          1.0000          7.7285         
732        0          1.0000          6.7592         
733        0          1.0000          9.8893         
735        0          1.0000          6.6636         
752        0          1.0000          7.0810         
757        0          1.0000          9.0492         
761        0          1.0000          15.9964        
780        0          1.0000          9.2884         
784        0          1.0000          8.2787         
787        0          1.0000          12.6111        
789        0          1.0000          8.7439         
790        0          1.0000          11.5302        
811        0          1.0000          6.7180         
815        0          1.0000          8.1978         
824        0          1.0000          7.9367         
826        0          1.0000          8.0085         
827        0          1.0000          7.9277         
831        0          1.0000          11.2757        
835        0          1.0000          8.7690         
836        0          1.0000          9.0670         
840        0          1.0000          8.0257         
855        0          1.0000          7.2436         
863        0          1.0000          8.5911         
874        0          1.0000          7.7234         
886        0          1.0000          12.0009        
887        0          1.0000          14.1928        
898        0          1.0000          10.0798        
900        0          1.0000          9.1502         
919        0          1.0000          9.3489         
924        0          1.0000          7.5398         
925        0          1.0000          7.2610         
929        0          1.0000          10.0148        
930        0          1.0000          10.0725        
932        0          1.0000          11.2479        
955        0          1.0000          7.2555         
965        0          1.0000          7.1760         
969        0          1.0000          8.0667         
979        0          1.0000          7.2877         
988        0          1.0000          7.8569         
990        0          1.0000          11.8256        
991        0          1.0000          8.6193         
930        0          1.0000          12.2152        
932        0          1.0000          11.4660        
934        0          1.0000          8.7057         
942        0          1.0000          9.6655         
946        0          1.0000          11.2471        
947        0          1.0000          10.5009        
