Overconfidence Predictions for densenet on security using deep_ensemble:

Sample     Pred       Confidence      Uncertainty    
==================================================
26         1          1.0000          304050.6250    
63         1          1.0000          314736.2812    
73         1          1.0000          10631.0186     
76         1          1.0000          18001.6152     
82         1          1.0000          18002.0977     
100        1          1.0000          10523.6885     
101        1          1.0000          7945.7515      
108        1          1.0000          10563.5635     
115        1          1.0000          5135.9414      
125        1          1.0000          8047.8540      
130        1          1.0000          10564.4561     
137        1          1.0000          11856.5674     
144        1          1.0000          17997.2188     
148        1          1.0000          10588.5049     
150        1          1.0000          13664.2168     
157        1          1.0000          10238.6885     
161        1          1.0000          10523.1846     
170        1          1.0000          18001.8184     
178        1          1.0000          7408.0977      
202        1          1.0000          7476.4468      
207        1          1.0000          10559.7051     
208        1          1.0000          8047.8955      
215        1          1.0000          18002.2461     
216        1          1.0000          18001.7578     
247        1          1.0000          326241.5312    
279        1          1.0000          456083.9375    
285        1          1.0000          1451836.5000   
296        1          1.0000          493828.8438    
317        1          1.0000          635533.7500    
326        1          1.0000          18001.6016     
330        1          1.0000          30906.5645     
335        1          1.0000          18002.8789     
339        1          1.0000          18002.8242     
356        1          1.0000          17999.5391     
361        1          1.0000          18001.7910     
370        1          1.0000          10522.2803     
374        1          1.0000          8171.4717      
380        1          1.0000          10523.1846     
415        1          1.0000          614594624.0000 
417        1          1.0000          314736.2812    
465        1          1.0000          314737.6250    
481        1          1.0000          22372.5078     
483        1          1.0000          11853.2285     
501        1          1.0000          18002.0254     
508        1          1.0000          10557.7012     
509        1          1.0000          10880.1875     
529        1          1.0000          372603.8125    
550        1          1.0000          7775.3398      
553        1          1.0000          5791.3955      
559        1          1.0000          6044.3926      
564        1          1.0000          18002.2539     
577        1          1.0000          785358336.0000 
609        1          1.0000          18000.8906     
611        1          1.0000          10690.1699     
612        1          1.0000          18001.7539     
619        1          1.0000          10563.2832     
624        1          1.0000          11225.9531     
636        1          1.0000          18002.5918     
641        1          1.0000          18000.9512     
645        1          1.0000          18001.4453     
668        1          1.0000          57356.6992     
697        1          1.0000          318272.8438    
729        1          1.0000          493828.8438    
743        1          1.0000          18002.2227     
762        1          1.0000          33760.4258     
766        1          1.0000          18002.0156     
777        1          1.0000          632873.0625    
830        1          1.0000          91655.1172     
831        1          1.0000          23090.7578     
853        1          1.0000          15183.9395     
857        1          1.0000          43201.7539     
885        1          1.0000          34955.3984     
886        1          1.0000          105580.0469    
905        1          1.0000          614594688.0000 
932        1          1.0000          34468.0273     
935        0          1.0000          69804.0156     
939        1          1.0000          56795.0117     
969        1          1.0000          3624987.0000   
993        1          1.0000          6456.1953      
1003       1          1.0000          13208.3076     
1010       1          1.0000          6719.3955      
1015       1          1.0000          10589.2393     
1017       1          1.0000          6685.2461      
1018       1          1.0000          10237.1836     
1022       1          1.0000          6685.5347      
1027       1          1.0000          85845.2109     
1056       1          1.0000          4733.3374      
1057       1          1.0000          5105.7588      
1065       1          1.0000          9995.2305      
1077       1          1.0000          9848.0059      
1086       1          1.0000          10608.6348     
1107       1          1.0000          86713.8281     
1140       1          1.0000          10750212.0000  
1158       1          1.0000          100530.4062    
1200       1          1.0000          27417.5449     
1206       1          1.0000          10535.9277     
1211       1          1.0000          18001.9688     
1238       1          1.0000          81963.9688     
1240       1          1.0000          86709.9766     
1241       1          1.0000          54643.4883     
1248       1          1.0000          92984.4531     
1249       1          1.0000          73053.7422     
1284       1          1.0000          16931.7910     
1289       1          1.0000          6947.2300      
1297       1          1.0000          17999.9355     
1311       1          1.0000          10236.2070     
1342       1          1.0000          540000128.0000 
1362       1          1.0000          5377609.0000   
1378       1          1.0000          491601792.0000 
1426       1          1.0000          11058788.0000  
1441       1          1.0000          318269.6250    
1456       1          1.0000          90314.0156     
1478       1          1.0000          18001.8750     
1490       1          1.0000          18002.5859     
1503       1          1.0000          18001.5508     
1530       1          1.0000          53713.4219     
1564       1          1.0000          18001.7324     
1567       1          1.0000          18001.8965     
1570       1          1.0000          785358400.0000 
1619       1          1.0000          188769728.0000 
1646       1          1.0000          82962.7969     
1675       1          1.0000          84417.8438     
1685       1          1.0000          22913.5664     
1699       1          1.0000          49301.7656     
1742       1          1.0000          71603.3281     
1785       1          1.0000          614594688.0000 
1801       1          1.0000          103025.6250    
1831       1          1.0000          54643.0898     
1836       1          1.0000          90314.8750     
1851       1          1.0000          185281.7500    
1874       1          1.0000          614594688.0000 
1889       1          1.0000          10522.0234     
1895       1          1.0000          10521.8047     
1912       1          1.0000          6455.6680      
1918       1          1.0000          10536.0352     
1930       1          1.0000          18002.1055     
1935       1          1.0000          4733.3374      
1940       1          1.0000          6433.1436      
1956       1          1.0000          24487.3320     
1957       1          1.0000          20198.2617     
1972       1          1.0000          10143.0195     
1977       1          1.0000          10565.5713     
1984       1          1.0000          10896.5293     
1988       1          1.0000          7775.3398      
2002       0          1.0000          16304.1826     
2013       1          1.0000          8010.6895      
2015       1          1.0000          6685.7168      
2017       1          1.0000          86712.1875     
2058       1          1.0000          151912.5625    
2068       1          1.0000          65897.3125     
2084       1          1.0000          801176.5000    
2118       1          1.0000          317588.9375    
2166       1          1.0000          178997.3438    
2167       1          1.0000          174880.2500    
2193       1          1.0000          3624986.5000   
2209       1          1.0000          18001.6016     
2212       1          1.0000          6685.6704      
2238       1          1.0000          6501.5615      
2239       1          1.0000          5093.1528      
2240       1          1.0000          10523.1846     
2241       1          1.0000          6685.5571      
2245       1          1.0000          18001.9082     
2292       0          1.0000          25790.4844     
2297       0          1.0000          28346.0156     
2300       1          1.0000          18001.4902     
2313       1          1.0000          10565.4365     
2314       1          1.0000          11184.2646     
2319       1          1.0000          18002.9609     
2330       1          1.0000          6303.4688      
2353       1          1.0000          314754.5000    
2355       1          1.0000          374320.6875    
2367       1          1.0000          314735.9688    
2386       1          1.0000          86714.7500     
2388       1          1.0000          161628.5781    
2408       1          1.0000          614594688.0000 
2449       1          1.0000          8046.8037      
2452       1          1.0000          10521.9277     
2453       0          1.0000          18022.3535     
2463       1          1.0000          17950.7148     
2464       1          1.0000          314737.6875    
2503       1          1.0000          18001.4688     
2519       1          1.0000          7408.7549      
2543       1          1.0000          18001.4551     
2547       1          1.0000          8047.7769      
2549       1          1.0000          10555.4043     
2556       1          1.0000          10565.2988     
2557       1          1.0000          10523.1846     
2559       1          1.0000          10536.0352     
2576       1          1.0000          10238.6260     
2582       1          1.0000          10238.0625     
2586       1          1.0000          4644.8184      
2590       1          1.0000          10425.8701     
2593       1          1.0000          8851.4541      
2595       1          1.0000          10562.5430     
2606       1          1.0000          4962.0640      
2640       1          1.0000          318269.6250    
2655       1          1.0000          86706.3516     
2668       1          1.0000          614594688.0000 
2694       1          1.0000          614594688.0000 
2722       1          1.0000          492372.7188    
2753       1          1.0000          955787904.0000 
2770       1          1.0000          785358336.0000 
2771       1          1.0000          486594784.0000 
2815       1          1.0000          180731.2188    
2821       1          1.0000          10330.7451     
2830       1          1.0000          10523.6885     
2834       1          1.0000          10560.5625     
2836       1          1.0000          10560.8008     
2840       1          1.0000          8048.3467      
2844       1          1.0000          6685.2617      
2849       1          1.0000          18002.3262     
2859       1          1.0000          6685.2397      
2863       1          1.0000          11684.6279     
2875       1          1.0000          8171.6523      
2903       1          1.0000          11058726.0000  
2919       1          1.0000          18002.7773     
2921       1          1.0000          10541.2471     
2922       1          1.0000          10538.6553     
2933       1          1.0000          10555.4336     
2934       1          1.0000          10238.4541     
2937       1          1.0000          14560.1865     
2943       1          1.0000          17821.6523     
2971       1          1.0000          4115.5112      
2972       1          1.0000          4317.7676      
2977       1          1.0000          6414.6191      
2984       1          1.0000          5784.8545      
2987       1          1.0000          7969.5684      
3011       1          1.0000          90842.7969     
3022       1          1.0000          314736.2812    
3058       1          1.0000          85850.3359     
3072       1          1.0000          54644.1758     
3086       1          1.0000          18002.3809     
3095       1          1.0000          18002.7988     
3097       1          1.0000          18000.9082     
3104       1          1.0000          73052.9453     
3111       1          1.0000          198391.0312    
3140       0          1.0000          6452.7964      
3150       1          1.0000          10557.7012     
3153       1          1.0000          6389.6016      
